주차,아이템대분류,중분류,소분류,판매량,판매액,정상가환원매출,할인율(%)
200701,바지류,바지,다이마루바지,4228,81660000,84974400,3.9
200701,바지류,바지,변형바지,14965,396606700,568829800,30.3
200701,바지류,청바지,청바지,10967,435723600,489896600,11.1
200701,셔츠류,남방,무지 셔츠,297,7662600,7662600,0.0
200701,셔츠류,남방,변형 셔츠,113,2381000,4513400,47.2
200701,셔츠류,남방,스트라이프,403,8530100,11169400,23.6
200701,셔츠류,남방,체크,13145,258515200,358121000,27.8
200701,스웨터류,스웨터,기본스웨터,14071,332719600,460605800,27.8
200701,스웨터류,스웨터,풀오버스웨터,16568,475031300,696162400,31.8
200701,스웨터류,스웨터가디건,가디건,19061,695164300,1026557800,32.3
200701,신발,캔버스화,운동화,752,18357600,26489600,30.7
200701,액세서리,액세서리 기타,"와펜,브로찌류",58,831200,984400,15.6
200701,여성언더웨어,여성팬티,삼각팬티,12,44000,93600,53.0
200701,외의류,점퍼,"가죽점퍼,무스탕",38,2064000,3833600,46.2
200701,외의류,점퍼,다운점퍼,9298,607576400,819470400,25.9
200701,외의류,점퍼,일반점퍼,1952,74327700,144707600,48.6
200701,외의류,점퍼,패딩점퍼,14315,880560200,1194923000,26.3
200701,외의류,코트,모직코트,2359,180021000,288853000,37.7
200701,치마류,스커트,다이마루스커트,438,8077200,11252400,28.2
200701,치마류,스커트,스커트짧은형,5264,132668000,182655200,27.4
200701,치마류,원피스,원피스(니트),18,270000,644400,58.1
200701,티셔츠류,긴팔티셔츠,무지긴팔티,7845,61549800,84105000,26.8
200701,티셔츠류,긴팔티셔츠,변형긴팔티,15507,244538200,325845600,25.0
200701,티셔츠류,나시형티셔츠,민소매티,3196,34992800,34992800,0.0
200701,티셔츠류,런닝형티셔츠,무지반팔티,1557,9342000,9433200,1.0
200701,티셔츠류,런닝형티셔츠,변형반팔티,40,467200,512000,8.8
200701,티셔츠류,런닝형티셔츠,전사반팔티,8730,62855600,108761000,42.2
200701,티셔츠류,맨투맨,맨투맨무지,776,6984000,15604800,55.2
200701,티셔츠류,맨투맨,맨투맨변형,46551,1029800200,1484147800,30.6
200701,티셔츠류,반팔티셔츠,변형폴로티,18,200000,284400,29.7
200701,패션잡화,가방,가방,288,9226400,12186400,24.3
200701,패션잡화,모자,모자,1482,23544200,26819600,12.2
200701,패션잡화,벨트,벨트,799,13764400,18286200,24.7
200701,패션잡화,양말,양말,1475,6156000,6199200,0.7
200701,패션잡화,"우비,우산",우산,4,26000,49200,47.2
200701,패션잡화,장갑,장갑,1125,15557400,21709000,28.3
200701,패션잡화,패브릭잡화,목도리(머플러),1238,19838000,26912400,26.3
200702,바지류,바지,다이마루바지,13528,147634000,269534400,45.2
200702,바지류,바지,반바지,314,3585000,5987000,40.1
200702,바지류,바지,변형바지,21483,482568000,837572600,42.4
200702,바지류,청바지,청바지,16174,578021000,783635200,26.2
200702,셔츠류,남방,나시,4,60000,135200,55.6
200702,셔츠류,남방,무지 셔츠,278,6982800,7100400,1.7
200702,셔츠류,남방,변형 셔츠,207,4267500,8204600,48.0
200702,셔츠류,남방,스트라이프,1282,18382500,35619600,48.4
200702,셔츠류,남방,체크,22363,319197100,605685400,47.3
200702,스웨터류,스웨터,기본스웨터,28340,526644800,1015642000,48.1
200702,스웨터류,스웨터,풀오버스웨터,28840,635051900,1233974000,48.5
200702,스웨터류,스웨터가디건,가디건,43000,1166791700,2270036000,48.6
200702,스웨터류,스웨터조끼,조끼,0,0,0,
200702,스포츠웨어류,수영복,수영복,4,100000,159200,37.2
200702,신발,슬리퍼,슬리퍼(신발류),18,360000,536400,32.9
200702,신발,캔버스화,운동화,1939,35118400,68110200,48.4
200702,액세서리,액세서리 기타,"와펜,브로찌류",111,1257500,1855500,32.2
200702,여성언더웨어,여성팬티,삼각팬티,34,170000,265200,35.9
200702,외의류,점퍼,"가죽점퍼,무스탕",90,4500000,13100400,65.6
200702,외의류,점퍼,다운점퍼,20159,921600400,1787737200,48.4
200702,외의류,점퍼,일반점퍼,3306,109871700,242942800,54.8
200702,외의류,점퍼,패딩점퍼,28337,1235397500,2388063000,48.3
200702,외의류,코트,모직코트,4078,256982400,509113800,49.5
200702,치마류,스커트,다이마루스커트,1249,15947600,30036200,46.9
200702,치마류,스커트,스커트짧은형,11214,207574600,398273200,47.9
200702,치마류,원피스,원피스(니트),6,90000,178800,49.7
200702,티셔츠류,긴팔티셔츠,무지긴팔티,6139,52307100,67176200,22.1
200702,티셔츠류,긴팔티셔츠,변형긴팔티,34148,407087000,719274400,43.4
200702,티셔츠류,나시형티셔츠,민소매티,5718,60644800,62069400,2.3
200702,티셔츠류,런닝형티셔츠,무지반팔티,2492,14952000,14480800,-3.3
200702,티셔츠류,런닝형티셔츠,변형반팔티,619,6215600,14005200,55.6
200702,티셔츠류,런닝형티셔츠,전사반팔티,16006,100850000,188416800,46.5
200702,티셔츠류,맨투맨,맨투맨무지,758,6822000,15968400,57.3
200702,티셔츠류,맨투맨,맨투맨변형,92662,1555725000,2981567600,47.8
200702,티셔츠류,반팔티셔츠,무지폴로티,442,3094000,5657600,45.3
200702,티셔츠류,반팔티셔츠,변형폴로티,-433,-3415000,-6785400,49.7
200702,패션잡화,가방,가방,829,18208500,35148200,48.2
200702,패션잡화,모자,모자,2793,35289000,50453400,30.1
200702,패션잡화,벨트,벨트,2250,29558500,54259000,45.5
200702,패션잡화,양말,양말,2594,10730200,10859800,1.2
200702,패션잡화,"우비,우산",우산,4,28000,39200,28.6
200702,패션잡화,장갑,장갑,2500,24986800,48614000,48.6
200702,패션잡화,패브릭잡화,목도리(머플러),2902,31957500,61476600,48.0
200703,바지류,바지,다이마루바지,11299,115887100,226792200,48.9
200703,바지류,바지,반바지,-187,-5400000,-9075600,40.5
200703,바지류,바지,변형바지,18233,423230800,732619200,42.2
200703,바지류,청바지,청바지,16850,585313700,818224000,28.5
200703,셔츠류,남방,나시,17,210000,400600,47.6
200703,셔츠류,남방,무지 셔츠,308,7851600,7910400,0.7
200703,셔츠류,남방,변형 셔츠,492,10829100,21723600,50.2
200703,셔츠류,남방,스트라이프,2501,35109000,68773800,49.0
200703,셔츠류,남방,체크,16987,236199400,458932600,48.5
200703,스웨터류,스웨터,기본스웨터,19900,325861700,670210000,51.4
200703,스웨터류,스웨터,풀오버스웨터,24819,527231900,1057994200,50.2
200703,스웨터류,스웨터가디건,가디건,34680,921178000,1836494000,49.8
200703,신발,캔버스화,운동화,1938,32149600,64200400,49.9
200703,액세서리,액세서리 기타,"와펜,브로찌류",132,1059600,2015600,47.4
200703,여성언더웨어,여성런닝,여성런닝,4,20000,51200,60.9
200703,여성언더웨어,여성팬티,삼각팬티,22,110000,171600,35.9
200703,외의류,점퍼,"가죽점퍼,무스탕",96,4920000,12002400,59.0
200703,외의류,점퍼,다운점퍼,14250,611117200,1236467600,50.6
200703,외의류,점퍼,일반점퍼,4324,141805100,311227200,54.4
200703,외의류,점퍼,패딩점퍼,22594,956354500,1930335600,50.5
200703,외의류,코트,모직코트,4082,249266800,505419800,50.7
200703,치마류,스커트,다이마루스커트,1081,15689600,27841800,43.6
200703,치마류,스커트,스커트짧은형,9981,181101600,358111800,49.4
200703,치마류,스커트,우븐스커트,54,1026000,2689200,61.8
200703,치마류,원피스,우븐나시원피스,8,240000,478400,49.8
200703,치마류,원피스,원피스(니트),156,2340000,5584800,58.1
200703,티셔츠류,긴팔티셔츠,무지긴팔티,4692,40255400,51309600,21.5
200703,티셔츠류,긴팔티셔츠,변형긴팔티,35801,440823500,756561800,41.7
200703,티셔츠류,나시형티셔츠,민소매티,3588,38945800,39149400,0.5
200703,티셔츠류,런닝형티셔츠,무지반팔티,4026,24156000,28913600,16.5
200703,티셔츠류,런닝형티셔츠,변형반팔티,2261,29789400,39755800,25.1
200703,티셔츠류,런닝형티셔츠,전사반팔티,18595,108061900,222647000,51.5
200703,티셔츠류,맨투맨,맨투맨무지,833,7497000,17213400,56.4
200703,티셔츠류,맨투맨,맨투맨변형,95744,1518204700,3018335200,49.7
200703,티셔츠류,반팔티셔츠,무지폴로티,128,880000,1638400,46.3
200703,티셔츠류,반팔티셔츠,변형폴로티,342,3210000,5983600,46.4
200703,패션잡화,가방,가방,975,20585300,40805000,49.6
200703,패션잡화,모자,모자,2452,31504800,44973600,29.9
200703,패션잡화,벨트,벨트,2617,32028900,62489600,48.7
200703,패션잡화,양말,양말,2581,10667000,10839800,1.6
200703,패션잡화,"우비,우산",우산,0,-2800,0,
200703,패션잡화,장갑,장갑,1658,16657600,33351400,50.1
200703,패션잡화,패브릭잡화,목도리(머플러),2206,22746100,45775800,50.3
200704,바지류,바지,다이마루바지,4882,51700400,97623600,47.0
200704,바지류,바지,면바지,1,7000,35800,80.4
200704,바지류,바지,반바지,-6,80000,-178800,144.7
200704,바지류,바지,변형바지,13311,318481900,532574600,40.2
200704,바지류,청바지,청바지,14630,522255500,683632000,23.6
200704,셔츠류,남방,나시,32,450000,893600,49.6
200704,셔츠류,남방,무지 셔츠,470,12126000,12126000,0.0
200704,셔츠류,남방,변형 셔츠,391,8468900,17107800,50.5
200704,셔츠류,남방,스트라이프,1704,23648400,47143200,49.8
200704,셔츠류,남방,체크,10209,153530900,276516200,44.5
200704,스웨터류,스웨터,기본스웨터,9766,168486700,340036800,50.5
200704,스웨터류,스웨터,풀오버스웨터,19010,415081000,778286000,46.7
200704,스웨터류,스웨터가디건,가디건,20878,576321600,1127720400,48.9
200704,신발,캔버스화,운동화,1176,19825200,39852800,50.3
200704,액세서리,액세서리 기타,"와펜,브로찌류",69,724400,1178200,38.5
200704,여성언더웨어,여성런닝,여성런닝,52,260000,665600,60.9
200704,여성언더웨어,여성팬티,삼각팬티,8,40000,62400,35.9
200704,외의류,점퍼,"가죽점퍼,무스탕",70,3456000,8198800,57.8
200704,외의류,점퍼,다운점퍼,9054,390741800,790998000,50.6
200704,외의류,점퍼,일반점퍼,4107,142718100,300552600,52.5
200704,외의류,점퍼,패딩점퍼,16142,695961000,1398397600,50.2
200704,외의류,코트,모직코트,2541,156241800,315449600,50.5
200704,치마류,스커트,다이마루스커트,1279,25200000,34618200,27.2
200704,치마류,스커트,스커트짧은형,6514,118264400,233561200,49.4
200704,티셔츠류,긴팔티셔츠,무지긴팔티,8444,93040600,100370200,7.3
200704,티셔츠류,긴팔티셔츠,변형긴팔티,23994,319060800,512357200,37.7
200704,티셔츠류,나시형티셔츠,민소매티,8363,99444400,99405400,0.0
200704,티셔츠류,런닝형티셔츠,무지반팔티,4333,25998000,26271600,1.0
200704,티셔츠류,런닝형티셔츠,변형반팔티,3170,63311200,55932000,-13.2
200704,티셔츠류,런닝형티셔츠,전사반팔티,7021,50488400,100221800,49.6
200704,티셔츠류,맨투맨,맨투맨무지,624,5616000,12235200,54.1
200704,티셔츠류,맨투맨,맨투맨변형,78963,1246664500,2443715400,49.0
200704,티셔츠류,반팔티셔츠,무지폴로티,-16,-80000,-204800,60.9
200704,티셔츠류,반팔티셔츠,변형폴로티,10,100000,158000,36.7
200704,패션잡화,가방,가방,722,15341700,30299600,49.4
200704,패션잡화,모자,모자,2302,30501400,40999600,25.6
